,,,All production,,,,,,Stripping,,,,,,Auger,,,,,
County,State,Year,Total Production,Average Value per Ton,Average Number of Persons Working Daily,Average Number of Days Worked,Number of Person-Days Worked,Average Tons per Person per Day,Number of Strip Pits,Total Production (Stripping),Average Number of Persons Working Daily (Stripping),Average Number of Days Worked (Stripping),Number of Person-Days Worked (Stripping),Average Tons per Person per Day (Stripping),Number of Auger Mines,Total Production (Auger),Average Number of Persons Working Daily (Auger),Average Number of Days Worked (Auger),Number of Person-Days Worked (Auger),Average Tons per Person per Day (Auger)
Bell,Kentucky,1946,2426553,3.96,2835,191,540670,4.49,,,,,,,,,,,,
Boyd,Kentucky,1946,596606,3.45,373,270,100740,5.92,5,404306,101,259,29198,15.43,,,,,,
Breathitt,Kentucky,1946,75808,3.83,92,205,18881,4.02,,,,,,,,,,,,
Carter,Kentucky,1946,187005,3.51,246,196,48323,3.87,,,,,,,,,,,,
Clay,Kentucky,1946,382193,3.51,593,199,118120,3.24,2,51750,64,163,10445,4.95,,,,,,
Clinton,Kentucky,1946,42300,3.32,47,178,8370,5.05,,,,,,,,,,,,
Elliott,Kentucky,1946,31734,2.77,34,274,9300,3.41,,,,,,,,,,,,
Floyd,Kentucky,1946,6208251,3.82,5524,204,1126069,5.51,,,,,,,,,,,,
Greenup,Kentucky,1946,58424,3.08,102,218,22212,2.63,,,,,,,,,,,,
Harlan,Kentucky,1946,11312171,4.00,11225,234,2621768,4.31,,,,,,,,,,,,
Jackson,Kentucky,1946,117766,3.45,155,247,38339,3.07,,,,,,,,,,,,
Johnson,Kentucky,1946,826505,4.27,1074,205,219910,3.76,,,,,,,,,,,,
Knott,Kentucky,1946,993131,3.64,744,208,154844,6.41,,,,,,,,,,,,
Knox,Kentucky,1946,520720,3.93,563,207,116681,4.46,,,,,,,,,,,,
Laurel,Kentucky,1946,418227,3.50,350,194,67913,6.16,4,159128,66,280,18228,12.03,,,,,,
Lawrence,Kentucky,1946,13854,3.01,32,185,5921,2.34,,,,,,,,,,,,
Lee,Kentucky,1946,63121,3.41,69,239,16460,3.83,,,,,,,,,,,,
Leslie,Kentucky,1946,357823,3.99,285,213,60727,5.89,,,,,,,,,,,,
Letcher,Kentucky,1946,7547743,3.89,7558,213,1610721,4.69,3,37967,39,80,3129,12.14,,,,,,
Magoffin,Kentucky,1946,80398,3.42,135,145,19549,4.11,,,,,,,,,,,,
Martin,Kentucky,1946,396326,3.21,256,213,54432,7.28,,,,,,,,,,,,
McCreary,Kentucky,1946,765626,2.39,813,209,170209,4.50,,,,,,,,,,,,
Menifee,Kentucky,1946,25725,3.29,29,238,6889,3.73,,,,,,,,,,,,
Morgan,Kentucky,1946,31649,3.76,65,225,14651,2.16,,,,,,,,,,,,
Perry,Kentucky,1946,6243877,3.65,5598,213,1195041,5.22,,,,,,,,,,,,
Pike,Kentucky,1946,9100840,3.51,7695,214,1643844,5.54,,,,,,,,,,,,
Pulaski,Kentucky,1946,117000,3.27,124,213,26390,4.43,,,,,,,,,,,,
Rockcastle,Kentucky,1946,67431,2.95,105,180,18850,3.58,,,,,,,,,,,,
Wayne,Kentucky,1946,24790,3.45,45,206,9248,2.68,,,,,,,,,,,,
Whitley,Kentucky,1946,308257,3.75,544,147,79851,3.86,,,,,,,,,,,,
Butler,Kentucky,1946,52908,2.47,58,212,12285,4.31,,,,,,,,,,,,
Christian,Kentucky,1946,5980,2.78,8,190,1520,3.93,,,,,,,,,,,,
Daviess,Kentucky,1946,274866,2.61,260,181,47013,5.85,,,,,,,,,,,,
Edmonson,Kentucky,1946,16770,2.50,19,238,4520,3.71,,,,,,,,,,,,
Hancock,Kentucky,1946,68186,2.61,78,140,10945,6.23,2,38246,35,98,3240,11.19,,,,,,
Henderson,Kentucky,1946,299027,2.14,260,237,61720,4.84,,,,,,,,,,,,
Hopkins,Kentucky,1946,9893466,2.35,4431,213,945685,10.46,17,4588543,961,296,226633,20.25,,,,,,
McLean,Kentucky,1946,45850,2.73,52,202,10516,4.36,,,,,,,,,,,,
Muhlenberg,Kentucky,1946,4706951,2.33,3111,186,577886,8.15,5,816350,239,197,47105,17.33,,,,,,
Ohio,Kentucky,1946,737530,2.51,491,192,94465,7.81,3,346093,121,161,18458,17.79,,,,,,
Union,Kentucky,1946,624830,2.16,449,175,78757,7.93,,,,,,,,,,,,
Webster,Kentucky,1946,480859,2.46,367,159,58432,8.30,2,104921,58,181,5836,17.98,,,,,,
"Butler, Daviess",Kentucky,1946,,,,,,,3,19620,17,134,2280,7.90,,,,,,
"Elliott, Pulaski, Rockcastle, Whitley",Kentucky,1946,,,,,,,6,29928,47,108,1094,5.38,,,,,,
"Perry, Pike",Kentucky,1946,,,,,,,4,761114,155,231,35851,21.23,,,,,,
Anderson,Tennessee,1946,1200517,3.75,1091,208,227259,5.28,,,,,,,,,,,,
Bledsoe,Tennessee,1946,53342,3.93,37,207,7670,6.95,,,,,,,,,,,,
Campbell,Tennessee,1946,1399669,4.07,1680,207,347135,4.03,,,,,,,,,,,,
Claiborne,Tennessee,1946,1256369,3.76,1419,192,273115,4.50,,,,,,,,,,,,
Cumberland,Tennessee,1946,367,4.00,12,248,2980,1.23,,,,,,,,,,,,
Fentress,Tennessee,1946,233057,3.56,193,226,43705,5.33,,,,,,,,,,,,
Grundy,Tennessee,1946,367703,4.19,502,185,92982,3.95,,,,,,,,,,,,
Hamilton,Tennessee,1946,34576,3.47,63,208,13105,2.64,,,,,,,,,,,,
Marion,Tennessee,1946,338848,4.00,767,135,103216,3.28,,,,,,,,,,,,
Morgan,Tennessee,1946,128512,1.95,312,243,75777,1.70,,,,,,,,,,,,
Overton,Tennessee,1946,61321,3.58,72,212,15228,4.03,,,,,,,,,,,,
Putnam,Tennessee,1946,133000,3.90,120,240,28800,4.62,,,,,,,,,,,,
Rhea,Tennessee,1946,13439,3.85,27,200,5409,2.48,,,,,,,,,,,,
Scott,Tennessee,1946,311441,3.89,296,199,58906,5.29,,,,,,,,,,,,
Sequatchie,Tennessee,1946,80304,3.82,132,200,26403,3.04,,,,,,,,,,,,
Van Buren,Tennessee,1946,3575,3.61,11,205,2260,1.14,,,,,,,,,,,,
"Anderson, Campbell, Morgan",Tennessee,1946,,,,,,,5,121681,65,166,10814,11.25,,,,,,
"Bledsoe, Grundy",Tennessee,1946,,,,,,,2,74526,40,219,8740,8.53,,,,,,
Buchanan,Virginia,1946,4472647,3.71,3485,236,823483,5.43,2,248391,80,171,13651,18.20,,,,,,
Dickenson,Virginia,1946,1333648,3.83,1167,233,271492,4.91,,,,,,,,,,,,
Lee,Virginia,1946,599001,4.01,733,197,144740,4.14,,,,,,,,,,,,
Montgomery,Virginia,1946,180366,3.99,209,217,45438,3.97,,,,,,,,,,,,
Russell,Virginia,1946,1186603,3.66,942,222,308993,5.68,2,92578,43,163,7020,13.19,,,,,,
Scott,Virginia,1946,44446,3.47,55,240,13201,3.37,,,,,,,,,,,,
Tazewell,Virginia,1946,3884197,4.24,4035,247,994972,3.90,,,,,,,,,,,,
Wise,Virginia,1946,3825987,3.61,3580,207,741389,5.16,11,314847,172,141,24236,12.99,,,,,,
Barbour,West Virginia,1946,2849527,3.05,1864,180,335000,8.51,18,912614,365,160,58420,15.61,,,,,,
Boone,West Virginia,1946,5139342,3.54,3768,233,879308,5.84,,,,,,,,,,,,
Braxton,West Virginia,1946,73996,3.03,71,125,8868,8.34,,,,,,,,,,,,
Brooke,West Virginia,1946,1965352,3.15,1027,244,230174,8.54,9,868597,242,209,50553,17.18,,,,,,
Clay,West Virginia,1946,1142672,4.24,853,253,216148,5.29,,,,,,,,,,,,
Fayette,West Virginia,1946,12444766,4.08,10565,237,2503713,4.97,16,1208366,484,176,85066,14.21,,,,,,
Gilmer,West Virginia,1946,69935,2.19,60,149,8931,7.83,2,50877,34,165,5606,9.08,,,,,,
Grant,West Virginia,1946,137367,3.91,103,199,20515,6.70,1,103874,40,269,10750,9.66,,,,,,
Greenbrier,West Virginia,1946,2421268,4.21,2019,217,438156,5.53,6,347385,174,256,27123,12.81,,,,,,
Hancock,West Virginia,1946,82549,2.74,33,247,8144,10.14,,,,,,,,,,,,
Harrison,West Virginia,1946,11019788,3.05,5536,155,919899,11.98,61,6445411,1875,173,323934,19.90,,,,,,
Kanawha,West Virginia,1946,8167437,3.65,6508,232,1512548,5.40,,,,,,,,,,,,
Lewis,West Virginia,1946,23051,3.17,38,62,2350,9.81,,,,,,,,,,,,
Logan,West Virginia,1946,20027295,3.47,12145,238,2894846,6.92,,,,,,,,,,,,
