"","year","V1","effeciency","effeciency_total"
"1",2008,0,3.39672912680228,3.84138831839918
"2",2008,1,4.28604750999607,3.84138831839918
"3",2009,0,4.48364708130224,4.1752731384826
"4",2009,1,3.86689919566296,4.1752731384826
"5",2010,0,3.25038437625131,3.5597623833622
"6",2010,1,3.86914039047308,3.5597623833622
"7",2011,0,3.75876841182394,3.73998936739791
"8",2011,1,3.72121032297188,3.73998936739791
"9",2012,0,3.55864274532264,3.64037156052578
"10",2012,1,3.72210037572892,3.64037156052578
"11",2013,0,4.05419377317214,4.01371247564
"12",2013,1,3.97323117810786,4.01371247564
"13",2014,0,3.5402754442139,3.93318717949935
"14",2014,1,4.3260989147848,3.93318717949935
"15",2015,0,3.34861084910321,3.98683287239551
"16",2015,1,4.62505489568781,3.98683287239551
"17",2016,0,4.27291399454065,4.36026258718035
"18",2016,1,4.44761117982004,4.36026258718035
