"","year","region","production","labor","production_year","labor_year","productivity_year","labor_share","production_share","QL"
"1",2001,"App",297871453,75505295,1080052667,152122873,7.09987029366715,0.496344129656294,0.275793451653965,0.253482816965344
"2",2001,"PRB",407891992,10950261,1080052667,152122873,7.09987029366715,0.0719830015306114,0.377659353532248,0.026845981815696
"3",2001,"Rest",374289222,65667317,1080052667,152122873,7.09987029366715,0.431672868813094,0.346547194813788,0.175445385921372
"4",2002,"App",256226903,67109713,1023083295,141195154,7.2458810803096,0.475297565807393,0.250445788971659,0.261915170554905
"5",2002,"PRB",410547143,11391381,1023083295,141195154,7.2458810803096,0.0806782717202886,0.401284181851488,0.0277468280908242
"6",2002,"Rest",356309249,62694060,1023083295,141195154,7.2458810803096,0.444024162472318,0.348270029176852,0.175954062870818
"7",2003,"App",255987610,68677511,1034329355,143578619,7.20392327356206,0.478326867038608,0.247491390206169,0.268284511894931
"8",2003,"PRB",410666727,11131486,1034329355,143578619,7.20392327356206,0.077528855462804,0.397036712740305,0.027105887251489
"9",2003,"Rest",367675018,63769622,1034329355,143578619,7.20392327356206,0.444144277498588,0.355471897053526,0.173440181894545
"10",2004,"App",274681279,76236621,1069394688,154653186,6.91479248283964,0.492952152954676,0.2568567827036,0.277545747848364
"11",2004,"PRB",421246842,11380895,1069394688,154653186,6.91479248283964,0.0735897868925895,0.393911477892061,0.0270171639648755
"12",2004,"Rest",373466567,67035670,1069394688,154653186,6.91479248283964,0.433458060152734,0.349231739404339,0.179495772643017
"13",2005,"App",286617183,87037115,1096317159,168380106,6.51096608170564,0.516908541440163,0.261436374179746,0.303670261807018
"14",2005,"PRB",444672518,12373799,1096317159,168380106,6.51096608170564,0.0734872978402805,0.405605726727479,0.0278267680126794
"15",2005,"Rest",365027458,68969192,1096317159,168380106,6.51096608170564,0.409604160719557,0.332957899092775,0.1889424767602
"16",2006,"App",283416794,90721537,1130195065,171988955,6.57132351900155,0.527484669000983,0.250768033569497,0.320099369270263
"17",2006,"PRB",488563972,14496416,1130195065,171988955,6.57132351900155,0.0842869008652329,0.432282874992026,0.0296714797463617
"18",2006,"Rest",358214299,66771002,1130195065,171988955,6.57132351900155,0.388228430133784,0.316949091438477,0.186399599866336
"19",2007,"App",281713692,90193362,1125761375,173705609,6.4808579382143,0.5192311435378,0.250242811892529,0.320159667638732
"20",2007,"PRB",496957649,15574047,1125761375,173705609,6.4808579382143,0.0896577093258975,0.441441374731834,0.0313387811443063
"21",2007,"Rest",347090034,67938200,1125761375,173705609,6.4808579382143,0.391111147136302,0.308315813375637,0.195736533305361
"22",2008,"App",286535869,97906554,1150325334,186523232,6.16719601985022,0.5249027316876,0.249091157545523,0.341690394091638
"23",2008,"PRB",512429868,16690595,1150325334,186523232,6.16719601985022,0.0894826602618595,0.445465167856592,0.0325714718096799
"24",2008,"Rest",351359597,71926083,1150325334,186523232,6.16719601985022,0.38561460805054,0.305443674597886,0.20470789360565
"25",2009,"App",245731455,91344586,1017235440,178337867,5.70397895361169,0.512199610417007,0.241567925513881,0.371725247791334
"26",2009,"PRB",441570983,15863738,1017235440,178337867,5.70397895361169,0.0889532787784212,0.434089263543551,0.0359256803792291
"27",2009,"Rest",329933002,71129543,1017235440,178337867,5.70397895361169,0.398847110804572,0.324342810942568,0.21558783925471
"28",2010,"App",253429264,97859226,1070413606,188118432,5.69010486968124,0.520200093949327,0.236758261086603,0.386140197289923
"29",2010,"PRB",486897854,16942177,1070413606,188118432,5.69010486968124,0.0900612280246946,0.454868894855957,0.034796162810773
"30",2010,"Rest",330086488,73317029,1070413606,188118432,5.69010486968124,0.389738678025979,0.30837284405744,0.22211460227963
"31",2011,"App",250303386,102759305,1073264477,199545488,5.37854545225297,0.514966817991896,0.233216873719375,0.410539012844197
"32",2011,"PRB",480426007,17480381,1073264477,199545488,5.37854545225297,0.0876009834910424,0.447630586211976,0.0363851680494058
"33",2011,"Rest",342535084,79305802,1073264477,199545488,5.37854545225297,0.397432198517062,0.319152540068649,0.231526070479834
"34",2012,"App",208005271,84760742,987110434,179869721,5.48791885878335,0.471234077246387,0.21072137811077,0.40749324088042
"35",2012,"PRB",438134807,16988372,987110434,179869721,5.48791885878335,0.0944482034305262,0.443855917138447,0.038774303544434
"36",2012,"Rest",340970356,78120607,987110434,179869721,5.48791885878335,0.434317719323087,0.345422704750784,0.229112606492982
"37",2013,"App",193120721,74751524,957469169,163160514,5.86826521642363,0.45814714704809,0.201699153615253,0.387071483644678
"38",2013,"PRB",430155311,16282271,957469169,163160514,5.86826521642363,0.0997929621624016,0.449262832608242,0.0378520747823569
"39",2013,"Rest",334193137,72126719,957469169,163160514,5.86826521642363,0.442059890789508,0.349038013776504,0.215823459594264
"40",2014,"App",178316071,64909298,964563038,151385659,6.37156150966717,0.428767813469042,0.184867203049512,0.364012607702645
"41",2014,"PRB",440169147,16503081,964563038,151385659,6.37156150966717,0.109013503055795,0.456340466780358,0.0374925891841302
"42",2014,"Rest",346077820,69973280,964563038,151385659,6.37156150966717,0.462218683475163,0.35879233017013,0.202189438202078
"43",2015,"App",137934061,47650115,841664476,120626325,6.97745269119324,0.395022520996142,0.163882479222041,0.345455753673489
"44",2015,"PRB",417636508,16379485,841664476,120626325,6.97745269119324,0.13578698513778,0.496203083186797,0.0392194759946609
"45",2015,"Rest",286093907,56596725,841664476,120626325,6.97745269119324,0.469190493866078,0.339914437591162,0.197825691548195
"46",2016,"App",129243442,42172787,709189414,103716963,6.83773795034858,0.406614171685687,0.182241076147817,0.32630504377932
"47",2016,"PRB",329553788,13828500,709189414,103716963,6.83773795034858,0.133329202861445,0.464690788517608,0.041961283722219
"48",2016,"Rest",250392184,47715676,709189414,103716963,6.83773795034858,0.460056625452868,0.353068135334575,0.190563759769754
